state,district,total,Obama,Romney,winner
KY,Campbell,40173,37.537649665198025,60.339033679336865,Romney
KY,Carlisle,2619,28.6368843069874,70.06491027109585,Romney
KY,Carroll,3680,44.26630434782609,54.32065217391304,Romney
KY,Carter,8906,37.98562766674152,59.27464630586122,Romney
KY,Casey,6091,17.829584633065178,80.51223116072894,Romney
KY,Christian,21953,37.58939552680727,61.38113241925933,Romney
KY,Clark,15410,33.92602206359507,64.445165476963,Romney
KY,Clay,7383,15.048083434918055,83.6516321278613,Romney
KY,Clinton,4393,17.118142499430913,81.24288641019805,Romney
KY,Crittenden,3854,24.909185262065385,73.66372599896212,Romney
KY,Cumberland,2853,20.995443392919725,77.67262530669471,Romney
KY,Daviess,42079,38.518025618479534,59.63069464578531,Romney
KY,Edmonson,4664,29.459691252144083,69.2967409948542,Romney
KY,Elliott,2399,49.43726552730304,46.93622342642768,Obama
KY,Estill,5184,26.157407407407412,72.31867283950619,Romney
KY,Fayette,125821,49.338345745145894,48.317053592007674,Obama
KY,Fleming,5782,33.05084745762712,65.37530266343825,Romney
KY,Floyd,14890,31.78643384822028,65.70852921423774,Romney
KY,Franklin,23337,49.42794703689421,48.61378926168745,Obama
KY,Fulton,2481,41.19306731156792,57.43651753325272,Romney
KY,Gallatin,3060,40.45751633986928,57.45098039215686,Romney
KY,Garrard,7077,23.47039706090151,75.03179313268335,Romney
KY,Grant,8606,32.65163839181966,65.81454798977458,Romney
KY,Graves,15493,29.348738139805075,69.05699348092686,Romney
KY,Grayson,9269,29.604056532527785,69.09051677635128,Romney
KY,Green,4856,23.99093904448105,74.835255354201,Romney
KY,Greenup,15159,39.758559271719776,58.41414341315391,Romney
KY,Hancock,4133,44.35035083474474,53.520445197193325,Romney
KY,Hardin,39212,38.79934713863103,59.56594919922473,Romney
KY,Harlan,10658,17.170200788140367,81.18784012009758,Romney
KY,Harrison,7163,34.496719251710175,63.60463492949882,Romney
KY,Hart,6621,34.48119619392841,64.28032019332427,Romney
KY,Henderson,18614,43.467282690448044,55.313205114430005,Romney
KY,Henry,6584,38.411300121506684,59.842041312272165,Romney
KY,Hickman,2139,32.07106124357176,66.90042075736325,Romney
KY,Hopkins,19765,29.28914748292436,69.2183152036428,Romney
KY,Jackson,5061,12.092471843509188,86.24777711914642,Romney
KY,Jefferson,339500,54.83475699558174,43.71575846833578,Obama
KY,Jessamine,20620,29.102812803103784,69.02036857419981,Romney
KY,Johnson,9035,19.07028223574986,78.52794687327062,Romney
KY,Kenton,67679,36.81644232332038,61.15190827287638,Romney
KY,Knott,5693,24.942912348498158,72.54523098542069,Romney
KY,Knox,11100,22.37837837837837,76.27927927927928,Romney
KY,LaRue,5764,30.065926439972237,67.85218598195696,Romney
KY,Laurel,22408,17.426811852909672,81.00232059978579,Romney
KY,Lawrence,5592,27.181688125894127,71.44134477825465,Romney
KY,Lee,2623,22.68394967594357,75.37171178040411,Romney
KY,Leslie,4950,8.747474747474747,89.67676767676771,Romney
KY,Letcher,8758,19.433660653117148,77.76889700844944,Romney
KY,Lewis,4769,28.140071293772287,69.74208429440134,Romney
KY,Lincoln,9152,28.21241258741259,70.1048951048951,Romney
KY,Livingston,4511,29.8381733540235,68.47705608512526,Romney
KY,Logan,10509,33.00980112284708,65.64849176895994,Romney
KY,Lyon,3838,35.77384054194893,62.84523189161021,Romney
KY,McCracken,30540,32.94695481335953,65.41912246234448,Romney
KY,McCreary,5704,18.741234221598877,80.0140252454418,Romney
KY,McLean,4200,34.09523809523809,64.40476190476191,Romney
KY,Madison,33317,34.55293093615872,63.41507338595912,Romney
KY,Magoffin,4905,29.215086646279307,69.1335372069317,Romney
KY,Marion,7316,46.71951886276654,51.9409513395298,Romney
KY,Marshall,15714,31.958762886597928,66.19574901361844,Romney
KY,Martin,3824,15.010460251046029,83.15899581589959,Romney
KY,Mason,6879,37.679895333624074,61.01177496729176,Romney
KY,Meade,10915,37.76454420522217,60.522217132386615,Romney
