,max_temp,rainfall,snowfall,bike_rides,month,holiday,weekend
2016-09-11,75,0.0001,0.0,384,9,False,True
2016-09-12,79,0.0,0.0,264,9,False,False
2016-09-13,83,0.0,0.0,262,9,False,False
2016-09-14,81,0.05,0.0,232,9,False,False
2016-09-15,75,0.0,0.0,286,9,False,False
2016-09-16,82,0.0,0.0,316,9,False,False
2016-09-17,81,0.06,0.0,363,9,False,True
2016-09-18,75,0.01,0.0,124,9,False,True
2016-09-19,83,0.0,0.0,238,9,False,False
2016-09-20,86,0.0,0.0,267,9,False,False
2016-09-21,86,0.0,0.0,261,9,False,False
2016-09-22,87,0.0,0.0,247,9,False,False
2016-09-23,88,0.0,0.0,287,9,False,False
2016-09-24,75,0.0,0.0,349,9,False,True
2016-09-25,76,0.0,0.0,693,9,False,True
2016-09-26,78,0.01,0.0,217,9,False,False
2016-09-27,72,0.0,0.0,242,9,False,False
2016-09-28,76,0.0,0.0,252,9,False,False
2016-09-29,67,1.43,0.0,127,9,False,False
2016-09-30,66,0.5,0.0,163,9,False,False
2016-10-01,71,0.37,0.0,252,10,False,True
2016-10-02,68,0.11,0.0,224,10,False,True
2016-10-03,70,0.0,0.0,209,10,False,False
2016-10-04,73,0.0,0.0,233,10,False,False
2016-10-05,71,0.0,0.0,257,10,False,False
2016-10-06,76,0.0,0.0,275,10,False,False
2016-10-07,75,0.1,0.0,215,10,False,False
2016-10-08,64,0.01,0.0,211,10,False,True
2016-10-09,61,0.0,0.0,232,10,False,True
2016-10-10,62,0.0,0.0,189,10,True,False
2016-10-11,64,0.0,0.0,170,10,False,False
2016-10-12,74,0.0,0.0,232,10,False,False
2016-10-13,64,0.0001,0.0,194,10,False,False
2016-10-14,61,0.0,0.0,200,10,False,False
2016-10-15,75,0.0,0.0,292,10,False,True
2016-10-16,77,0.0001,0.0,293,10,False,True
2016-10-17,78,0.31,0.0,267,10,False,False
2016-10-18,79,0.0001,0.0,263,10,False,False
2016-10-19,75,0.06,0.0,210,10,False,False
2016-10-20,79,1.25,0.0,113,10,False,False
2016-10-21,60,1.26,0.0,54,10,False,False
2016-10-22,49,0.02,0.0,79,10,False,True
2016-10-23,64,0.0,0.0,253,10,False,True
2016-10-24,61,0.0001,0.0,175,10,False,False
2016-10-25,55,0.0,0.0,150,10,False,False
2016-10-26,48,0.0001,0.0,107,10,False,False
2016-10-27,61,0.16,0.0,106,10,False,False
2016-10-28,54,0.03,0.0,143,10,False,False
2016-10-29,75,0.0,0.0,286,10,False,True
2016-10-30,71,0.26,0.0,111,10,False,True
2016-10-31,52,0.0,0.0,140,10,False,False
2016-11-01,77,0.0,0.0,196,11,False,False
2016-11-02,80,0.0,0.0,240,11,False,False
2016-11-03,68,0.14,0.0,137,11,False,False
2016-11-04,57,0.0,0.0,159,11,False,False
2016-11-05,62,0.0,0.0,269,11,False,True
2016-11-06,65,0.0,0.0,198,11,False,True
2016-11-07,69,0.0,0.0,144,11,False,False
2016-11-08,66,0.07,0.0,140,11,False,False
2016-11-09,53,0.05,0.0,97,11,False,False
2016-11-10,59,0.0,0.0,123,11,False,False
2016-11-11,58,0.0001,0.0,136,11,True,False
2016-11-12,49,0.0,0.0,179,11,False,True
2016-11-13,55,0.0,0.0,139,11,False,True
2016-11-14,58,0.0,0.0,164,11,False,False
2016-11-15,59,0.0,0.0,119,11,False,False
2016-11-16,56,0.0001,0.0,150,11,False,False
2016-11-17,61,0.0,0.0,143,11,False,False
2016-11-18,74,0.0,0.0,273,11,False,False
2016-11-19,60,0.24,0.5,42,11,False,True
2016-11-20,34,0.08,1.6,28,11,False,True
2016-11-21,36,0.0001,0.001,72,11,False,False
2016-11-22,39,0.0,0.0,77,11,False,False
2016-11-23,45,0.0001,0.0,72,11,False,False
2016-11-24,51,0.22,0.0,28,11,True,False
2016-11-25,46,0.0001,0.0,44,11,False,False
2016-11-26,45,0.01,0.001,61,11,False,True
2016-11-27,46,0.0,0.0,53,11,False,True
2016-11-28,52,0.0001,0.0,90,11,False,False
2016-11-29,64,0.17,0.0,140,11,False,False
2016-11-30,60,0.45,0.0,71,11,False,False
